search_query,total,metadata_passed,keep,review,drop
popping,70,70,5,44,21
urban,54,54,2,12,40
urban舞蹈,48,48,0,23,25
poppin,52,52,3,25,24
hiphop,51,51,3,23,25
机械舞,42,42,4,23,15
震感舞,35,35,2,16,17
urban编舞,56,56,3,29,24
都市编舞,66,66,2,40,24
hoping,2,2,0,2,0
电流舞,57,57,0,6,51

# Genre Coverage
genre,total_matched,keep,review
hoping,170,14,96
hiphop,52,2,24
urban,23,1,9
jazz,6,0,3
locking,3,0,2
breaking,6,0,3
korea,6,1,3
disco,2,0,1
classical,1,0,0
